date,weather_station,rainfall_nightbefore_mm
2022-10-13,bramham,2.2
2022-10-14,bramham,0.0
2022-10-15,bramham,0.4
2022-10-16,bramham,1.4
2022-10-17,bramham,1.0
2022-10-18,bramham,0.0
2022-10-19,bramham,0.0
2022-10-20,bramham,0.0
2022-10-21,bramham,20.2
2022-10-22,bramham,8.4
2022-10-23,bramham,0.0
2022-10-24,bramham,6.0
2022-10-25,bramham,0.6
2022-10-26,bramham,0.0
2022-10-27,bramham,0.0
2022-10-28,bramham,0.4
2022-10-29,bramham,0.0
2022-10-30,bramham,3.0
2022-10-31,bramham,1.0
2022-11-01,bramham,12.0
2022-11-02,bramham,3.0000000000000004
2022-11-03,bramham,1.6
2022-11-04,bramham,0.0
2022-11-05,bramham,0.0
2022-11-06,bramham,0.7999999999999999
2022-11-07,bramham,1.4
2022-11-08,bramham,0.0
2022-11-09,bramham,4.6
2022-11-10,bramham,1.8
2022-11-11,bramham,0.0
2022-11-12,bramham,0.0
2022-11-13,bramham,0.0
2022-11-14,bramham,0.2
2022-11-15,bramham,0.6000000000000001
2022-11-16,bramham,12.799999999999999
2022-11-17,bramham,1.0
2022-11-18,bramham,18.2
2022-11-19,bramham,0.0
2022-11-20,bramham,3.0
2022-11-21,bramham,2.2
2022-11-22,bramham,11.6
2022-11-23,bramham,0.0
2022-11-24,bramham,5.4
2022-11-25,bramham,5.0
2022-11-26,bramham,0.0
2022-11-27,bramham,2.1999999999999997
2022-11-28,bramham,0.0
2022-11-29,bramham,0.2
2022-11-30,bramham,0.6000000000000001
2022-12-01,bramham,0.0
2022-12-02,bramham,0.0
2022-12-03,bramham,0.0
2022-12-04,bramham,0.0
2022-12-05,bramham,0.6000000000000001
2022-12-06,bramham,0.0
2022-12-07,bramham,0.0
2022-12-08,bramham,0.0
2022-12-09,bramham,0.0
2022-12-10,bramham,0.0
2022-12-11,bramham,0.0
2022-12-12,bramham,0.0
2022-12-13,bramham,0.0
2022-12-14,bramham,0.0
2022-12-15,bramham,0.0
2022-12-16,bramham,0.0
2022-12-17,bramham,0.2
2022-12-18,bramham,0.0
2022-12-19,bramham,4.2
2022-12-20,bramham,0.4
2022-12-21,bramham,0.6
2022-12-22,bramham,0.2
2022-12-23,bramham,1.2
2022-12-24,bramham,13.200000000000001
2022-12-25,bramham,1.4
2022-12-26,bramham,0.4
2022-12-27,bramham,2.2
2022-12-28,bramham,8.4
2022-12-29,bramham,5.2
2022-12-30,bramham,0.2
2022-12-31,bramham,0.4
2023-01-01,bramham,6.0
